mpfem::Mesh::edgeIndex	0.02s	0.02s	0.23%	0.27%	busbar_example	E:\code\cpp\mpfem\src\mesh\mesh.cpp	239	0x7ff6d8603dcb
mpfem::GeometryMapping::evalShape	0.02s	0.02s	0.24%	0.26%	busbar_example	E:\code\cpp\mpfem\src\fe\geometry_mapping.cpp	171	0x7ff6d8a0626b
log	0.02s	0.02s	0.25%	0.25%	busbar_example	[unknown]	0	0x7ff6d89e9642
mpfem::`anonymous namespace'::evalAst	0.01s	0.02s	0.14%	0.23%	busbar_example	E:\code\cpp\mpfem\src\expr\expression_parser.cpp	60	0x7ff6d897aaa2
std::operator<<<std::char_traits<char> >	0.00s	0.02s	0.02%	0.23%	busbar_example	E:\env\cpp\VS14\VC\Tools\MSVC\14.50.35717\include\__msvc_ostream.hpp	774	0x7ff6d856f6e0
Eigen::TriangularViewImpl<Eigen::Matrix<double,2,2,0,2,2> const ,5,Eigen::Dense>::solveInPlace<1,Eigen::Matrix<double,2,3,0,2,3> >	0.00s	0.02s	0.00%	0.22%	busbar_example	E:\code\cpp\mpfem\build-msvc\vcpkg_installed\x64-windows\include\eigen3\Eigen\src\Core\SolveTriangular.h	195	0x7ff6d89f20de
std::_Hash<std::_Umap_traits<mpfem::Mesh::FaceKey,mpfem::Mesh::FaceInfo,std::_Uhash_compare<mpfem::Mesh::FaceKey,mpfem::Mesh::FaceKeyHash,std::equal_to<mpfem::Mesh::FaceKey> >,std::allocator<std::pair<mpfem::Mesh::FaceKey const ,mpfem::Mesh::FaceInfo> >,0> >::_Forced_rehash	0.01s	0.02s	0.15%	0.21%	busbar_example	E:\env\cpp\VS14\VC\Tools\MSVC\14.50.35717\include\xhash	1747	0x7ff6d85fe862
[00007FFC761214E9]	0.02s	0.02s	0.21%	0.21%	busbar_example		0	0x7ffc761214e9
std::_Fnv1a_append_value<int>	0.02s	0.02s	0.19%	0.19%	busbar_example	E:\env\cpp\VS14\VC\Tools\MSVC\14.50.35717\include\type_traits	2288	0x7ff6d8589b12
Eigen::internal::triangular_solve_matrix<double,__int64,1,5,0,0,0,1>::run	0.01s	0.02s	0.11%	0.19%	busbar_example	E:\code\cpp\mpfem\build-msvc\vcpkg_installed\x64-windows\include\eigen3\Eigen\src\Core\products\TriangularSolverMatrix.h	185	0x7ff6d89583f2
[00007FFC76121516]	0.02s	0.02s	0.19%	0.19%	busbar_example		0	0x7ffc76121516
mkl_pds_lp64_metis_pqueueinit	0.02s	0.02s	0.18%	0.18%	busbar_example	[unknown]	0	0x7ff6d2e70e52
